,Lev=1(CER),Lev=1(WER),Lev=2(CER),Lev=2(WER),Lev=3(CER),Lev=3(WER),SpellChecker(CER),SpellChecker(WER),SpellChecker+Lev=1(CER),SpellChecker+Lev=1(WER),SpellChecker+Lev=2(CER),SpellChecker+Lev=2(WER),SpellChecker+Lev=3(CER),SpellChecker+Lev=3(WER)
0,0.59,2.72,0.88,3.61,0.92,3.79,0.62,2.71,0.7,3.22,0.86,3.61,0.92,3.79
1,0.49,2.34,0.67,2.89,0.7,3.02,0.52,2.71,0.59,2.64,0.67,2.89,0.7,3.02
2,0.73,3.81,0.92,4.58,0.92,4.85,0.71,3.33,0.86,4.22,0.93,4.58,0.92,4.85
3,0.75,3.07,0.92,3.67,0.89,3.81,0.69,2.43,0.87,3.45,0.9,3.67,0.89,3.81
4,0.67,3.09,0.86,3.9,0.88,4.18,0.61,2.61,0.75,3.44,0.83,3.9,0.87,4.18
5,0.8,3.85,1.01,4.47,1.05,4.69,0.78,3.15,0.94,4.18,1.01,4.47,1.05,4.69
6,0.82,4.39,1.19,5.6,1.2,5.88,0.99,4.01,1.16,5.17,1.19,5.6,1.2,5.88
7,0.87,3.42,1.01,4.03,1.03,4.22,0.83,3.02,0.98,3.72,1.02,4.03,1.03,4.22
8,0.66,3.26,0.82,3.9,0.81,4.12,0.53,2.63,0.74,3.64,0.8,3.9,0.81,4.12
9,0.57,2.83,0.75,3.48,0.8,3.66,0.54,2.22,0.64,3.04,0.75,3.48,0.8,3.66
10,0.8,3.6,1.11,4.52,1.17,4.73,0.75,3.09,0.93,4.03,1.11,4.52,1.18,4.73
11,0.67,3.35,0.97,4.28,1.02,4.46,0.72,2.92,0.83,3.77,0.95,4.28,1.02,4.46
12,0.8,3.9,1.07,4.66,1.15,4.84,0.76,3.37,1,4.34,1.07,4.66,1.15,4.84
13,0.75,3.64,1.02,4.46,1.05,4.67,0.8,3.09,0.93,4.2,1,4.46,1.05,4.67
14,0.67,2.97,0.92,3.72,1.57,3.72,0.69,2.76,0.86,3.5,0.92,3.72,1.02,4.02
15,0.77,3.85,1.08,5.14,0.02,2.44,0.68,2.61,0.85,3.31,1.08,5.14,1.32,5.71
16,0.75,3.71,1.09,4.67,1.49,3.47,0.81,3.36,1,4.29,1.08,4.67,1.13,4.78
17,0.7,3.57,0.96,4.32,1.42,4.45,0.74,3.19,0.87,4.09,0.95,4.32,1.04,4.48
