,WRR,WRR without stopwords,WRR with upper,ocr word len,ocr char len,char len div,real char len,real word len,word len div,Lev ratio,runtime,WER without stopwords,CER,WER
0,0.885,0.903,0.998,5988,28246,759,29005,6095,107,0.956,121.82,21.143,6.506,14.701
1,0.941,0.939,0.988,6020,28324,294,28618,6067,47,0.972,134.02,14.927,3.964,10.269
2,0.874,0.85,0.998,6072,28543,944,29487,6248,176,0.945,136.32,27.182,7.872,18.982
3,0.8,0.855,1,5728,26209,916,27125,5797,69,0.926,142.73,32.064,11.123,24.461
4,0.813,0.776,0.995,5615,26170,1938,28108,5924,309,0.905,134.99,36.881,13.898,28.933
5,0.802,0.843,0.689,6173,28639,608,29247,6294,121,0.949,175.46,24.974,7.084,17.747
6,0.759,0.771,0.73,5783,27164,1890,29054,6088,305,0.916,134.05,38.49,12.153,28.909
7,0.995,0.956,0.691,5281,24913,2501,27414,5733,452,0.905,164.62,32.395,14.889,25.449
8,0.943,0.859,0.997,5934,28499,569,29068,6066,132,0.953,141.63,23.19,6.653,16.255
9,0.8,0.77,1,5953,27133,1531,28664,6121,168,0.911,194.5,37.351,13.341,28.868
10,0.906,0.853,0.998,5622,26567,816,27383,5726,104,0.941,138.98,29.193,8.41,21.621
11,0.924,0.859,1,5973,28184,483,28667,6057,84,0.956,149.74,23.545,6.301,16.229
12,0.802,0.858,0.98,5905,27768,238,28006,5952,47,0.952,137.74,25.398,6.383,17.305
13,0.811,0.761,0.954,6074,28275,530,28805,6118,44,0.943,147.24,28.965,8.023,20.644
14,0.923,0.842,0.928,6321,29434,350,29784,6381,60,0.958,155.99,21.609,5.71,14.386
15,0.792,0.763,0.881,6081,28866,1279,30145,6309,228,0.915,152.61,38.734,12.066,28.578
16,0.791,0.862,0.973,5954,27539,1822,29361,6235,281,0.917,168.08,34.335,12.758,26.335
17,0.788,0.749,1,6214,28301,1987,30288,6455,241,0.906,173.26,39.731,13.846,30.008
18,0.793,0.86,0.977,5587,26320,1776,28096,5848,261,0.918,132.34,35.695,12.337,27.274
19,0.931,0.855,0.667,5331,25077,3375,28452,5982,651,0.876,157.9,40.951,18.234,32.982
20,0.782,0.888,0.678,5829,27574,1294,28868,6077,248,0.928,145.78,33.131,10.198,24.453
21,0.897,0.829,0.866,6355,29579,302,29881,6407,52,0.963,169.35,20.096,5.321,13.329
22,0.767,0.771,0.741,6000,28205,844,29049,6170,170,0.929,164.66,30.787,10.077,22.075
23,0.936,0.856,0.987,6016,27860,1107,28967,6150,134,0.943,153.79,29.409,8.358,20.748
24,0.884,0.856,0.999,5323,25172,2121,27293,5630,307,0.901,151.23,38.948,14.561,30.657
25,0.799,0.766,1,5881,27585,1205,28790,6065,184,0.929,195.8,32.862,10.155,24.864
26,0.805,0.764,0.733,6084,28287,1554,29841,6278,194,0.924,159.7,34.222,11.285,25.916
27,0.801,0.937,0.988,6010,28420,541,28961,6097,87,0.965,183.8,18.669,4.965,13.121
28,0.782,0.896,0.93,5962,29575,452,30027,6017,55,0.968,143.3,17.005,4.424,12.947
29,0.884,0.852,0.993,5811,27327,2582,29909,6172,361,0.907,181.49,34.313,14.264,27.285
30,0.926,0.829,0.974,5634,26905,2016,28921,6017,383,0.916,137.22,33.377,12.34,25.827
31,0.899,0.953,0.88,5546,26132,3873,30005,6344,798,0.889,185.85,35.208,17.45,27.963
32,0.947,0.849,0.981,4939,22875,5789,28664,6089,1150,0.804,134.75,55.178,28.52,45.886
33,0.801,0.887,0.889,5866,27323,2366,29689,6262,396,0.9,209.86,37.435,14.928,27.93
34,0.802,0.887,0.985,6028,28798,1340,30138,6253,225,0.932,173.16,27.056,10.053,20.246
35,0.885,0.871,0.986,6043,27798,1592,29390,6345,302,0.925,207.22,30.479,11.068,22.065
36,0.98,0.951,0.669,5218,24901,3662,28563,5931,713,0.891,158.25,34.19,16.967,27.533
37,0.935,0.848,0.895,5699,26571,3688,30259,6431,732,0.878,163.95,41.007,18.496,32.437
38,0.78,0.901,0.948,5945,27170,2488,29658,6380,435,0.904,152.53,32.241,14.339,24.89
39,0.986,0.924,0.875,5722,26495,3137,29632,6377,655,0.89,181.54,36.609,16.687,28.415
40,0.935,0.852,0.814,5382,24995,4102,29097,6189,807,0.87,207.27,40.588,19.738,33.075
41,0.923,0.843,0.936,5477,25237,3615,28852,6095,618,0.878,172.78,44.039,18.72,33.339
42,0.8,0.86,0.932,5134,24288,3211,27499,5555,421,0.864,167.91,46.896,20.233,37.606
43,0.972,0.932,0.868,5373,24429,4925,29354,6205,832,0.845,206.21,46.957,23.69,38.114
44,0.89,0.825,0.996,5720,25642,3687,29329,6277,557,0.866,141.14,45.183,20.381,35.096
45,0.896,0.83,0.667,5347,24705,3252,27957,5868,521,0.886,160.56,39.716,17.563,31.34
46,0.811,0.771,0.988,6014,28118,1130,29248,6189,175,0.939,134.69,28.44,8.822,20.585
47,0.934,0.827,0.911,5923,27526,919,28445,6055,132,0.948,175.55,24.953,7.244,17.159
48,0.89,0.92,0.994,6146,28678,552,29230,6242,96,0.966,157.77,17.499,4.738,11.823
49,0.948,0.933,0.908,5750,27289,1455,28744,5998,248,0.939,182.52,24.192,8.937,18.206
50,0.896,0.839,0.797,5899,27624,1438,29062,6132,233,0.935,169.02,26.584,9.518,19.015
51,0.938,0.852,0.994,6035,28374,624,28998,6167,132,0.949,182.42,22.801,7.17,16.394
52,0.793,0.903,0.787,6514,32257,2639,34896,6985,471,0.918,179.26,33.154,12.136,23.765
53,0.966,0.937,0.976,5919,28140,676,28816,6031,112,0.956,246.94,20.113,6.392,14.011
54,0.973,0.932,0.994,5835,27486,527,28013,5924,89,0.928,192.36,25.205,12.163,19.311
55,0.942,0.845,0.97,6058,27991,831,28822,6194,136,0.944,172.44,24.627,7.668,16.984
56,0.786,0.859,0.844,5973,28637,1619,30256,6215,242,0.932,182.15,28.675,10.23,21.4
57,0.935,0.831,0.891,6163,28209,2039,30248,6517,354,0.92,145.87,29.384,11.955,21.544
58,0.794,0.859,0.998,6118,28710,1041,29751,6204,86,0.938,169.51,28.587,8.783,20.326
59,0.941,0.847,0.915,6077,28521,587,29108,6206,129,0.952,191.51,21.857,6.634,15.018
60,0.781,0.851,0.952,5322,24864,3708,28572,6044,722,0.85,176.7,49.281,21.362,39.527
61,0.808,0.911,0.951,6055,28908,753,29661,6183,128,0.953,205.78,22.582,6.44,16.173
62,0.932,0.829,0.831,5960,28882,883,29765,6119,159,0.952,205.77,23.628,6.921,16.98
63,0.942,0.896,0.968,6415,30469,822,31291,6542,127,0.96,234.97,21.538,5.732,14.292
64,0.863,0.867,0.818,6222,29736,593,30329,6269,47,0.936,139.28,35.592,9.237,23.816
65,0.95,0.899,1,6411,30136,460,30596,6470,59,0.968,155.62,17.442,4.315,11.391
66,0.89,0.851,0.969,6521,30191,1070,31261,6727,206,0.934,172.95,29.322,9.344,20.693
67,0.915,0.856,0.968,6365,29750,830,30580,6506,141,0.944,167.94,24.661,7.803,17.092
68,0.86,0.87,0.998,6082,29146,544,29690,6178,96,0.956,223.87,22.038,6.361,15.15
69,0.766,0.775,0.997,6087,28431,599,29030,6146,59,0.918,167.21,37.162,11.133,25.415
70,0.799,0.812,0.883,6170,28252,1283,29535,6344,174,0.907,225.06,38.288,12.536,26.419
71,0.873,0.835,0.942,6107,28041,1918,29959,6422,315,0.901,190.62,40.806,13.818,29.274
72,0.879,0.852,0.939,5867,26884,2786,29670,6422,555,0.904,164.41,34.942,14.547,26.939
73,0.782,0.886,0.995,5954,28266,2136,30402,6324,370,0.914,188.41,33.208,12.762,25.443
74,0.699,0.93,0.879,4483,21637,8143,29780,6207,1724,0.788,247.78,50.359,32.897,44.482
75,0.873,0.85,0.997,5431,25769,3291,29060,6050,619,0.876,181.22,40.212,18.431,31.504
76,0.984,0.843,1,6057,28286,2518,30804,6566,509,0.914,186.4,30.262,13.453,22.754
77,0.917,0.916,0.108,5380,25709,4419,30128,6277,897,0.873,267.57,36.843,19.836,29.775
78,0.949,0.85,0.801,6096,28182,1234,29416,6342,246,0.935,170.68,25.817,9.349,18.433
79,0.895,0.841,0.949,5626,26593,3570,30163,6308,682,0.885,194.58,39.016,17.623,30.453
80,0.941,0.837,0.971,6077,28433,2283,30716,6490,413,0.914,195.97,32.734,13.081,24.73
81,0.892,0.912,0.802,5632,26467,2505,28972,6092,460,0.91,206.35,32.055,13.512,24.163
82,0.991,0.94,0.885,5964,28141,2231,30372,6430,466,0.926,149.49,27.191,11.387,20.56
83,0.627,0.955,0.837,4840,22523,8090,30613,6397,1557,0.765,242.66,61.169,34.255,50.383
84,0.96,0.913,0.803,5796,27455,3449,30904,6446,650,0.892,230.93,38.1,16.74,29.677
85,0.892,0.835,0.947,5752,26672,3293,29965,6392,640,0.88,173.54,42.751,17.968,32.541
86,0.759,0.944,0.014,5468,25388,5012,30400,6499,1031,0.861,217.92,41.912,21.583,33.405
87,0.983,0.951,0.815,5029,23338,6692,30030,6413,1384,0.819,212.48,49.723,27.899,41.151
88,0.948,0.929,0.973,5850,27612,2845,30457,6425,575,0.909,189.76,31.226,13.94,24.187
89,0.691,0.901,0.76,4873,23348,6383,29731,6204,1331,0.818,201.76,48.825,27.933,41.248
90,0.934,0.85,0.769,5619,26624,3183,29807,6211,592,0.888,206.31,38.854,16.872,30.414
91,0.97,0.936,0.897,5222,24721,3583,28304,5903,681,0.888,198.51,33.777,17.677,27.444
92,0.963,0.917,0.79,5465,26097,4092,30189,6253,788,0.877,161.34,38.395,18.953,31.313
93,0.989,0.943,0.662,4815,22950,4289,27239,5556,741,0.846,187.42,45.272,23.773,37.815
94,0.883,0.884,0.993,6003,28318,2495,30813,6533,530,0.904,234,32.847,14.937,24.751
95,0.98,0.955,0.776,5759,27236,3426,30662,6413,654,0.903,186.89,31.986,15.31,24.84
96,0.991,0.939,0.799,5825,26951,3001,29952,6427,602,0.904,137.43,33.063,14.629,25.035
97,0.945,0.85,0.822,6361,29825,769,30594,6511,150,0.942,164.92,25.738,8.094,17.678
98,0.941,0.846,0.936,6551,30133,1129,31262,6770,219,0.956,283.05,20.378,6.688,14.121
99,0.982,0.933,0.953,5569,26550,2408,28958,6081,512,0.916,169.14,29.312,12.973,22.875
100,0.973,0.932,0.952,6111,34351,2552,36903,6526,415,0.92,198.63,31.582,11.959,22.939
101,0.865,0.873,0.994,6114,34299,2184,36483,6460,346,0.926,155.08,28.896,11.422,21.207
102,0.866,0.884,0.943,5750,32660,2395,35055,6188,438,0.914,166.57,32.439,12.757,25.178
103,0.893,0.916,0.041,6266,35248,2772,38020,6720,454,0.922,179.52,29.68,12.114,21.681
104,0.89,0.94,0.973,5884,32981,4128,37109,6545,661,0.903,193.4,32.622,15.304,24.874
105,0.803,0.86,0.948,6096,33821,2585,36406,6382,286,0.894,172.62,39.243,15.885,29.724
106,0.919,0.843,0.957,5862,32818,3415,36233,6415,553,0.905,166.03,35.466,14.901,26.953
107,0.8,0.858,0.988,5880,33825,1657,35482,6113,233,0.915,176.5,33.502,12.447,24.521
108,0.801,0.76,0.953,5976,33054,3794,36848,6381,405,0.864,181.26,48.862,20.869,38.223
109,0.936,0.749,0.89,5812,32275,4622,36897,6418,606,0.849,186.68,52.146,22.602,39.966
110,0.781,0.844,0.949,6349,34830,3676,38506,6794,445,0.879,197.77,44.165,18.429,33.765
111,0.948,0.846,0.795,5897,32875,3123,35998,6375,478,0.909,156.75,34.858,13.658,25.961
112,0.819,0.791,0.997,5980,33188,2104,35292,6205,225,0.87,189.85,49.883,17.849,35.858
113,0.781,0.746,0.728,5739,32561,2559,35120,6127,388,0.867,196.15,46.928,18.805,35.548
114,0.948,0.857,0.798,5601,31688,4284,35972,6148,547,0.881,152.72,41.322,18.238,32.791
115,0.809,0.736,0.954,6224,35914,1375,37289,6440,216,0.905,192.54,35.146,12.647,24.379
116,0.971,0.933,0.806,5828,32868,3654,36522,6447,619,0.904,172.14,34.132,14.851,26.214
117,0.763,0.759,1,6132,34244,2609,36853,6434,302,0.898,162.13,40.706,15.225,30.323
118,0.804,0.754,0.682,5836,32428,4177,36605,6401,565,0.874,171.32,43.57,19.354,34.104
119,0.782,0.85,0.964,6059,34165,2335,36500,6378,319,0.907,151.84,39.321,13.373,28.128
120,0.788,0.765,0.948,6002,33249,3327,36576,6433,431,0.866,159.01,44.931,20.403,34.447
121,0.87,0.873,1,6293,35869,2727,38596,6759,466,0.923,178.89,30.158,11.686,22.4
122,0.774,0.829,0.839,5880,33960,2396,36356,6220,340,0.905,180.01,39.46,13.382,28.183
123,0.799,0.862,1,5861,33893,1975,35868,6192,331,0.911,182.2,31.258,12.528,22.416
124,0.937,0.857,0.973,5881,33006,4250,37256,6464,583,0.875,189.11,42.599,18.804,32.797
125,0.776,0.876,0.973,6078,34470,3006,37476,6531,453,0.911,156.77,35.408,13.583,26.795
126,0.945,0.846,0.983,5918,33384,3686,37070,6512,594,0.906,146.63,34.976,14.553,26.551
127,0.931,0.887,0.935,5485,31229,4057,35286,6153,668,0.898,145.09,34.596,15.706,26.849
128,0.894,0.848,0.015,6204,33714,4512,38226,6840,636,0.866,182.24,45.908,20.634,35.322
