,cer1,cer2,cer3,cer4,cer5,wer1,wer2,wer3,wer4,wer5,runtime
0,13.77,8.73,6.57,8.68,6.51,51.07,20.84,16.64,19.29,14.7,138.98
1,10.8,5.77,4.25,5.38,3.96,47.36,15.91,12.38,13.9,10.27,121.82
2,15.01,10.09,7.88,9.94,7.87,51.59,25.2,21.45,23.03,18.98,159.7
3,18.24,13.55,11.27,13.39,11.12,50.45,31.96,27.89,29.36,24.46,157.77
4,21.06,16.59,13.8,16.31,13.9,55.78,37.18,33.15,32.97,28.93,188.41
5,14.41,9.37,7.26,9.02,7.08,49.55,24.3,20.43,21.8,17.75,153.79
6,19.18,14.37,12.28,14.02,12.15,53.58,37.58,34.04,32.85,28.91,164.41
7,23.31,18.24,15.5,17.4,14.89,59.66,36.4,31.66,30.52,25.45,145.87
8,14.96,9.88,7.22,9.14,6.65,53.5,24.79,20.52,21.17,16.25,152.61
9,19.94,15.2,12.86,15.54,13.34,51.25,35.24,32.09,32.56,28.87,190.62
10,16.25,10.98,8.71,10.7,8.41,51.72,28.67,25.03,25.82,21.62,152.53
11,14.01,8.97,6.57,8.67,6.3,48.55,22.82,18.73,20.53,16.23,155.99
12,13.77,8.64,6.61,8.38,6.38,50.18,23.04,19.07,21.3,17.31,169.35
13,15.59,10.97,8.41,10.69,8.02,50.05,28.29,23.64,25.88,20.64,209.86
14,12.61,7.66,5.83,7.47,5.71,48.63,20.42,16.27,18.73,14.39,194.5
15,19.77,15.17,12.21,14.99,12.07,54.11,37.26,33.26,33.37,28.58,225.06
16,19.58,15.08,12.99,14.84,12.76,53.1,35.04,30.68,31.07,26.34,176.7
17,20.48,15.96,13.57,16.12,13.85,52.01,36.28,32.86,34.18,30.01,267.57
18,19.12,14.54,12.42,14.36,12.34,52.12,35.15,31.29,31.55,27.27,234.97
19,25.14,20.59,17.94,20.46,18.23,60.26,41.5,36.71,37.59,32.98,217.92
20,17.54,12.53,10.4,12.22,10.2,53.48,31.67,28.39,28.03,24.45,175.55
21,12.94,7.81,5.8,7.35,5.32,48.16,20.37,16.41,17.46,13.33,175.46
22,18.3,13.48,10.65,12.9,10.08,53.22,31.04,26.6,27.3,22.07,207.27
23,16.39,11.06,9,10.25,8.36,53.76,31.37,27.65,24.71,20.75,207.22
24,21.73,17.18,14.55,16.96,14.56,55.78,37.83,34.31,35.05,30.66,195.97
25,17.56,12.65,10.51,12.17,10.15,51.77,33.29,29.4,29.12,24.86,179.26
26,18.66,14.08,11.49,13.72,11.28,51.82,34.39,30.61,30.24,25.92,191.51
27,12.07,7.04,5.32,6.56,4.96,49.73,19.8,16.12,17.16,13.12,134.99
28,11.81,6.76,4.75,6.34,4.42,52,21.08,16.09,18.16,12.95,142.73
29,21.67,16.83,14.94,15.82,14.26,59.68,42.44,38.92,31.26,27.28,139.28
